fold	accuracy	brier_score	cross_entropy	trim_cross_entropy	roc_auc	alpha_true	corrupt_frac	model
0	0.95482	0.03943371257030047	0.25117666424882057	0.048466466	0.9855841433	0.0	0.0	Ember-PN-Baseline-model-0.00
1	0.95223	0.039954777028294586	0.22433217488814458	0.051507108	0.9837529259	0.0	0.0	Ember-PN-Baseline-model-0.00
2	0.952975	0.04121685047403672	0.2875338273452265	0.054864056	0.9833209141	0.0	0.0	Ember-PN-Baseline-model-0.00
3	0.95363	0.03961020531583705	0.2328786930392883	0.050606012	0.9839338080000001	0.0	0.0	Ember-PN-Baseline-model-0.00
4	0.95113	0.04043294038920793	0.1940543774228987	0.05852431	0.9832443931999999	0.0	0.0	Ember-PN-Baseline-model-0.00
0	0.94463	0.05019363154950557	0.3683273320221165	0.10592807	0.9795676206	0.2	0.0	Ember-PU-Baseline-model-0.00
1	0.94567	0.048415516883587514	0.3627735259735775	0.092058666	0.97932074065	0.2	0.0	Ember-PU-Baseline-model-0.00
2	0.944275	0.051753544927900345	0.4426010075823764	0.12895894	0.9760413218499999	0.2	0.0	Ember-PU-Baseline-model-0.00
3	0.946545	0.04882441138469655	0.4026428086744465	0.10610475	0.9780743437500001	0.2	0.0	Ember-PU-Baseline-model-0.00
4	0.9507	0.04345356667791508	0.28850400982686175	0.06562054	0.9830504698	0.2	0.0	Ember-PU-Baseline-model-0.00
0	0.9445	0.06859283757351782	0.2639179552183591	0.20902011	0.9833515255	0.2	0.0	Ember-PUN-Biased-Baseline-model-0.00
1	0.941515	0.06740745633134738	0.27129508953298087	0.19669712	0.9810781266999999	0.2	0.0	Ember-PUN-Biased-Baseline-model-0.00
2	0.93519	0.07371785627117997	0.2767170824536512	0.21270192	0.98231474025	0.2	0.0	Ember-PUN-Biased-Baseline-model-0.00
3	0.94127	0.06482077923653808	0.2600257148613278	0.1929118	0.9817184754499999	0.2	0.0	Ember-PUN-Biased-Baseline-model-0.00
4	0.926985	0.07578116151463042	0.2949265105194691	0.21242827	0.97742860435	0.2	0.0	Ember-PUN-Biased-Baseline-model-0.00
